n_r[rpm],Trq_max[Nm]
0,238.54949028611904
1000,238.54949028611904
2000,238.54949028611904
3000,238.54949028611904
4000,238.54949028611904
5000,210.7338692204035
6000,178.81826431627428
7000,153.65419446772077
8000,133.85184741929055
9000,117.94238393612314
10000,104.87758819502662
11000,94.17481858871149
12000,85.46827043864279
