a,alpha,h,t,v
-0.9722222222222219,0,0,382,0.9722222222222219
-0.9722222222222219,0,0,383,0.0
0.0,0,0,384,0.0
0.0,0,0,385,0.0
0.0,0,0,386,0.0
0.0,0,0,387,0.0
0.0,0,0,388,0.0
0.0,0,0,389,0.0
0.0,0,0,390,0.0
0.0,0,0,391,0.0
0.0,0,0,392,0.0
0.0,0,0,393,0.0
0.0,0,0,394,0.0
0.0,0,0,395,0.0
0.0,0,0,396,0.0
0.0,0,0,397,0.0
0.0,0,0,398,0.0
0.0,0,0,399,0.0
0.0,0,0,400,0.0
0.0,0,0,401,0.0
1.0416666666666667,0,0,402,1.0416666666666667
1.0416666666666667,0,0,403,2.0833333333333335
1.0416666666666665,0,0,404,3.125
1.041666666666667,0,0,405,4.166666666666667
0.0,0,0,406,4.166666666666667
0.0,0,0,407,4.166666666666667
0.0,0,0,408,4.166666666666667
0.0,0,0,409,4.166666666666667
0.0,0,0,410,4.166666666666667
0.0,0,0,411,4.166666666666667
0.0,0,0,412,4.166666666666667
0.0,0,0,413,4.166666666666667
-0.833333333333333,0,0,414,3.333333333333334
-0.8333333333333339,0,0,415,2.5
-0.833333333333333,0,0,416,1.666666666666667
-0.8333333333333337,0,0,417,0.8333333333333333
-0.8333333333333333,0,0,418,0.0
0.0,0,0,419,0.0
0.0,0,0,420,0.0
0.0,0,0,421,0.0
0.0,0,0,422,0.0
0.0,0,0,423,0.0
0.0,0,0,424,0.0
0.0,0,0,425,0.0
0.0,0,0,426,0.0
0.0,0,0,427,0.0
0.0,0,0,428,0.0
0.0,0,0,429,0.0
0.0,0,0,430,0.0
0.0,0,0,431,0.0
0.0,0,0,432,0.0
0.0,0,0,433,0.0
0.0,0,0,434,0.0
0.0,0,0,435,0.0
0.0,0,0,436,0.0
0.0,0,0,437,0.0
0.0,0,0,438,0.0
0.0,0,0,439,0.0
0.6944444444444444,0,0,440,0.6944444444444444
0.6944444444444444,0,0,441,1.3888888888888888
0.6944444444444446,0,0,442,2.0833333333333335
0.6944444444444442,0,0,443,2.7777777777777777
0.6944444444444451,0,0,444,3.4722222222222228
0.6944444444444442,0,0,445,4.166666666666667
0.7870370370370372,0,0,446,4.953703703703704
0.7870370370370363,0,0,447,5.7407407407407405
0.7870370370370381,0,0,448,6.527777777777779
0.7870370370370363,0,0,449,7.314814814814815
0.7870370370370381,0,0,450,8.101851851851853
0.7870370370370363,0,0,451,8.88888888888889
0.0,0,0,452,8.88888888888889
0.0,0,0,453,8.88888888888889
0.0,0,0,454,8.88888888888889
0.0,0,0,455,8.88888888888889
0.0,0,0,456,8.88888888888889
0.0,0,0,457,8.88888888888889
0.0,0,0,458,8.88888888888889
0.0,0,0,459,8.88888888888889
0.0,0,0,460,8.88888888888889
0.0,0,0,461,8.88888888888889
0.0,0,0,462,8.88888888888889
0.0,0,0,463,8.88888888888889
0.0,0,0,464,8.88888888888889
0.0,0,0,465,8.88888888888889
0.0,0,0,466,8.88888888888889
0.0,0,0,467,8.88888888888889
0.0,0,0,468,8.88888888888889
0.0,0,0,469,8.88888888888889
0.0,0,0,470,8.88888888888889
0.0,0,0,471,8.88888888888889
0.0,0,0,472,8.88888888888889
0.0,0,0,473,8.88888888888889
0.0,0,0,474,8.88888888888889
0.0,0,0,475,8.88888888888889
-0.808080808080808,0,0,476,8.080808080808081
-0.8080808080808088,0,0,477,7.2727272727272725
-0.8080808080808071,0,0,478,6.464646464646465
-0.8080808080808088,0,0,479,5.656565656565657
-0.808080808080808,0,0,480,4.848484848484849
-0.808080808080808,0,0,481,4.040404040404041
-0.808080808080808,0,0,482,3.2323232323232327
-0.8080808080808084,0,0,483,2.4242424242424243
-0.8080808080808086,0,0,484,1.6161616161616157
-0.8080808080808073,0,0,485,0.8080808080808084
-0.8080808080808084,0,0,486,0.0
0.0,0,0,487,0.0
0.0,0,0,488,0.0
0.0,0,0,489,0.0
