t,v,a,dS,h,alpha
61,8.88888888888889,0.7870370370370363,542.2222222222223,0,0
62,8.88888888888889,0.0,551.1111111111111,0,0
63,8.88888888888889,0.0,560.0,0,0
64,8.88888888888889,0.0,568.8888888888889,0,0
65,8.88888888888889,0.0,577.7777777777778,0,0
66,8.88888888888889,0.0,586.6666666666667,0,0
67,8.88888888888889,0.0,595.5555555555555,0,0
68,8.88888888888889,0.0,604.4444444444445,0,0
69,8.88888888888889,0.0,613.3333333333334,0,0
70,8.88888888888889,0.0,622.2222222222223,0,0
71,8.88888888888889,0.0,631.1111111111111,0,0
72,8.88888888888889,0.0,640.0,0,0
73,8.88888888888889,0.0,648.8888888888889,0,0
74,8.88888888888889,0.0,657.7777777777778,0,0
75,8.88888888888889,0.0,666.6666666666667,0,0
76,8.88888888888889,0.0,675.5555555555555,0,0
77,8.88888888888889,0.0,684.4444444444445,0,0
78,8.88888888888889,0.0,693.3333333333334,0,0
79,8.88888888888889,0.0,702.2222222222223,0,0
80,8.88888888888889,0.0,711.1111111111111,0,0
81,8.88888888888889,0.0,720.0,0,0
82,8.88888888888889,0.0,728.8888888888889,0,0
83,8.88888888888889,0.0,737.7777777777778,0,0
84,8.88888888888889,0.0,746.6666666666667,0,0
85,8.88888888888889,0.0,755.5555555555555,0,0
86,8.080808080808081,-0.808080808080808,694.949494949495,0,0
87,7.2727272727272725,-0.8080808080808088,632.7272727272727,0,0
88,6.464646464646465,-0.8080808080808071,568.8888888888889,0,0
89,5.656565656565657,-0.8080808080808088,503.4343434343434,0,0
90,4.848484848484849,-0.808080808080808,436.3636363636364,0,0
91,4.040404040404041,-0.808080808080808,367.6767676767677,0,0
92,3.2323232323232327,-0.808080808080808,297.3737373737374,0,0
93,2.4242424242424243,-0.8080808080808084,225.45454545454547,0,0
94,1.6161616161616157,-0.8080808080808086,151.9191919191919,0,0
95,0.8080808080808084,-0.8080808080808073,76.7676767676768,0,0
96,0.0,-0.8080808080808084,0.0,0,0
97,0.0,0.0,0.0,0,0
98,0.0,0.0,0.0,0,0
99,0.0,0.0,0.0,0,0
100,0.0,0.0,0.0,0,0
101,0.0,0.0,0.0,0,0
102,0.0,0.0,0.0,0,0
103,0.0,0.0,0.0,0,0
104,0.0,0.0,0.0,0,0
105,0.0,0.0,0.0,0,0
106,0.0,0.0,0.0,0,0
107,0.0,0.0,0.0,0,0
108,0.0,0.0,0.0,0,0
109,0.0,0.0,0.0,0,0
110,0.0,0.0,0.0,0,0
111,0.0,0.0,0.0,0,0
112,0.0,0.0,0.0,0,0
113,0.0,0.0,0.0,0,0
114,0.0,0.0,0.0,0,0
115,0.0,0.0,0.0,0,0
116,0.0,0.0,0.0,0,0
117,0.0,0.0,0.0,0,0
118,0.6944444444444444,0.6944444444444444,81.94444444444444,0,0
119,1.3888888888888888,0.6944444444444444,165.27777777777777,0,0
120,2.0833333333333335,0.6944444444444446,250.00000000000003,0,0
121,2.7777777777777777,0.6944444444444442,336.1111111111111,0,0
122,3.4722222222222228,0.6944444444444451,423.6111111111112,0,0
123,4.166666666666667,0.6944444444444442,512.5,0,0
124,4.671717171717172,0.5050505050505052,579.2929292929293,0,0
125,5.1767676767676765,0.5050505050505043,647.0959595959596,0,0
126,5.681818181818182,0.5050505050505052,715.9090909090909,0,0
127,6.186868686868687,0.5050505050505052,785.7323232323232,0,0
128,6.691919191919192,0.5050505050505052,856.5656565656566,0,0
129,7.196969696969696,0.5050505050505043,928.4090909090909,0,0
130,7.7020202020202015,0.5050505050505052,1001.2626262626262,0,0
131,8.207070707070706,0.5050505050505043,1075.1262626262624,0,0
132,8.712121212121211,0.5050505050505052,1149.9999999999998,0,0
133,9.217171717171716,0.5050505050505052,1225.8838383838383,0,0
134,9.722222222222221,0.5050505050505052,1302.7777777777776,0,0
135,10.185185185185185,0.4629629629629637,1375.0,0,0
136,10.648148148148147,0.4629629629629619,1448.148148148148,0,0
137,11.11111111111111,0.4629629629629637,1522.2222222222222,0,0
138,11.574074074074073,0.4629629629629619,1597.222222222222,0,0
139,12.037037037037038,0.46296296296296546,1673.1481481481483,0,0
140,12.5,0.4629629629629619,1750.0,0,0
141,12.962962962962964,0.4629629629629637,1827.7777777777778,0,0
142,13.425925925925926,0.4629629629629619,1906.4814814814815,0,0
143,13.88888888888889,0.4629629629629637,1986.111111111111,0,0
144,13.88888888888889,0.0,2000.0,0,0
145,13.88888888888889,0.0,2013.888888888889,0,0
146,13.88888888888889,0.0,2027.7777777777778,0,0
147,13.88888888888889,0.0,2041.6666666666667,0,0
148,13.88888888888889,0.0,2055.5555555555557,0,0
149,13.88888888888889,0.0,2069.4444444444443,0,0
150,13.88888888888889,0.0,2083.3333333333335,0,0
151,13.88888888888889,0.0,2097.222222222222,0,0
152,13.88888888888889,0.0,2111.1111111111113,0,0
153,13.88888888888889,0.0,2125.0,0,0
154,13.88888888888889,0.0,2138.888888888889,0,0
155,13.88888888888889,0.0,2152.777777777778,0,0
156,13.368055555555557,-0.5208333333333321,2085.416666666667,0,0
157,12.847222222222223,-0.5208333333333339,2017.0138888888891,0,0
158,12.32638888888889,-0.5208333333333339,1947.5694444444446,0,0
159,11.805555555555555,-0.5208333333333339,1877.0833333333333,0,0
160,11.284722222222221,-0.5208333333333339,1805.5555555555554,0,0
161,10.76388888888889,-0.5208333333333321,1732.986111111111,0,0
162,10.243055555555554,-0.5208333333333357,1659.3749999999998,0,0
163,9.722222222222221,-0.5208333333333321,1584.7222222222222,0,0
164,9.722222222222221,0.0,1594.4444444444443,0,0
165,9.722222222222221,0.0,1604.1666666666665,0,0
166,9.722222222222221,0.0,1613.8888888888887,0,0
167,9.722222222222221,0.0,1623.611111111111,0,0
168,9.722222222222221,0.0,1633.3333333333333,0,0
169,9.722222222222221,0.0,1643.0555555555554,0,0
170,9.722222222222221,0.0,1652.7777777777776,0,0
171,9.722222222222221,0.0,1662.4999999999998,0,0
172,9.722222222222221,0.0,1672.2222222222222,0,0
173,9.722222222222221,0.0,1681.9444444444443,0,0
174,9.722222222222221,0.0,1691.6666666666665,0,0
175,9.722222222222221,0.0,1701.3888888888887,0,0
176,9.722222222222221,0.0,1711.1111111111109,0,0
177,9.722222222222221,0.0,1720.8333333333333,0,0
178,9.722222222222221,0.0,1730.5555555555554,0,0
179,8.75,-0.9722222222222214,1566.25,0,0
180,7.777777777777778,-0.9722222222222223,1400.0,0,0
181,6.8055555555555545,-0.9722222222222232,1231.8055555555554,0,0
182,5.833333333333333,-0.9722222222222214,1061.6666666666665,0,0
183,4.861111111111111,-0.9722222222222223,889.5833333333333,0,0
184,3.888888888888889,-0.9722222222222219,715.5555555555555,0,0
185,2.916666666666667,-0.9722222222222219,539.5833333333334,0,0
186,1.9444444444444438,-0.9722222222222232,361.6666666666665,0,0
187,0.9722222222222219,-0.9722222222222219,181.8055555555555,0,0
188,0.0,-0.9722222222222219,0.0,0,0
189,0.0,0.0,0.0,0,0
190,0.0,0.0,0.0,0,0
191,0.0,0.0,0.0,0,0
192,0.0,0.0,0.0,0,0
193,0.0,0.0,0.0,0,0
194,0.0,0.0,0.0,0,0
195,0.0,0.0,0.0,0,0
