t,v,a,dS,h,alpha
0,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
2,0.0,0.0,0.0,0,0
3,0.0,0.0,0.0,0,0
4,0.0,0.0,0.0,0,0
5,0.0,0.0,0.0,0,0
6,0.0,0.0,0.0,0,0
7,0.0,0.0,0.0,0,0
8,0.0,0.0,0.0,0,0
9,0.0,0.0,0.0,0,0
10,0.0,0.0,0.0,0,0
11,0.0,0.0,0.0,0,0
12,0.0,0.0,0.0,0,0
13,0.0,0.0,0.0,0,0
14,0.0,0.0,0.0,0,0
15,0.0,0.0,0.0,0,0
16,0.0,0.0,0.0,0,0
17,0.0,0.0,0.0,0,0
18,0.0,0.0,0.0,0,0
19,0.0,0.0,0.0,0,0
20,0.0,0.0,0.0,0,0
21,0.6944444444444444,0.6944444444444444,14.583333333333332,0,0
22,1.3888888888888888,0.6944444444444444,30.555555555555554,0,0
23,2.0833333333333335,0.6944444444444446,47.91666666666667,0,0
24,2.7777777777777777,0.6944444444444442,66.66666666666666,0,0
25,3.4722222222222228,0.6944444444444451,86.80555555555557,0,0
26,4.166666666666667,0.6944444444444442,108.33333333333334,0,0
27,4.671717171717172,0.5050505050505052,126.13636363636365,0,0
28,5.1767676767676765,0.5050505050505043,144.94949494949495,0,0
29,5.681818181818182,0.5050505050505052,164.77272727272728,0,0
30,6.186868686868687,0.5050505050505052,185.6060606060606,0,0
31,6.691919191919192,0.5050505050505052,207.44949494949495,0,0
32,7.196969696969696,0.5050505050505043,230.30303030303028,0,0
33,7.7020202020202015,0.5050505050505052,254.16666666666666,0,0
34,8.207070707070706,0.5050505050505043,279.040404040404,0,0
35,8.712121212121211,0.5050505050505052,304.9242424242424,0,0
36,9.217171717171716,0.5050505050505052,331.81818181818176,0,0
37,9.722222222222221,0.5050505050505052,359.7222222222222,0,0
38,10.13888888888889,0.41666666666666785,385.27777777777777,0,0
39,10.555555555555555,0.4166666666666661,411.6666666666667,0,0
40,10.972222222222221,0.4166666666666661,438.88888888888886,0,0
41,11.38888888888889,0.41666666666666785,466.94444444444446,0,0
42,11.805555555555555,0.4166666666666661,495.8333333333333,0,0
43,12.222222222222223,0.41666666666666785,525.5555555555555,0,0
44,12.63888888888889,0.4166666666666661,556.1111111111111,0,0
45,13.055555555555557,0.41666666666666785,587.5000000000001,0,0
46,13.472222222222221,0.4166666666666643,619.7222222222222,0,0
47,13.88888888888889,0.41666666666666785,652.7777777777778,0,0
48,14.285714285714286,0.3968253968253972,685.7142857142858,0,0
49,14.682539682539682,0.3968253968253954,719.4444444444445,0,0
50,15.079365079365079,0.3968253968253972,753.968253968254,0,0
51,15.476190476190474,0.3968253968253954,789.2857142857142,0,0
52,15.873015873015873,0.39682539682539897,825.3968253968254,0,0
