t,v,a,dS,alpha,h,a_new
0,0.0,0.0,0.0,0,0,0.0
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.1698752
4,0.3397504,0.3397504,0.3397504,0,0,2.0608544
5,4.1217088,3.7819584,4.1217088,0,0,3.1516319999999998
6,6.643014399999999,2.521305599999999,6.643014399999999,0,0,1.9960335999999996
7,8.113776,1.4707616000000001,8.113776,0,0,1.6495776000000002
8,9.9421696,1.828393600000001,9.9421696,0,0,2.0183856000000002
9,12.1505472,2.2083776,12.1505472,0,0,2.0407376
10,14.0236448,1.8730975999999997,14.0236448,0,0,1.475232
11,15.1010112,1.0773664,15.1010112,0,0,1.2941807999999995
12,16.6120064,1.510995199999999,16.6120064,0,0,1.5624048000000004
13,18.2258208,1.6138144000000012,18.2258208,0,0,1.5311120000000003
14,19.6742304,1.448409599999998,19.6742304,0,0,1.2338303999999987
15,20.6934816,1.0192511999999985,20.6934816,0,0,0.804672
16,21.2835744,0.5900928000000031,21.2835744,0,0,0.7107936000000006
17,22.1150688,0.8314944000000007,22.1150688,0,0,0.8113776000000001
18,22.9063296,0.7912607999999979,22.9063296,0,0,0.7800848000000009
19,23.6752384,0.7689088000000015,23.6752384,0,0,0.7040880000000005
20,24.3145056,0.6392672000000014,24.3145056,0,0,0.5945631999999978
21,24.864364799999997,0.5498591999999962,24.864364799999997,0,0,0.4492751999999989
22,25.213055999999998,0.3486912000000015,25.213055999999998,0,0,0.10058400000000134
23,25.0655328,-0.1475231999999988,25.0655328,0,0,-0.053644800000000714
24,25.105766399999997,0.040233599999995005,25.105766399999997,0,0,-0.0692912000000021
25,24.926950399999996,-0.17881599999999842,24.926950399999996,0,0,-0.24140159999999966
26,24.622963199999997,-0.3039872000000009,24.622963199999997,0,0,-0.3017519999999987
27,24.323446399999998,-0.29951679999999925,24.323446399999998,0,0,-0.20787359999999921
28,24.207216,-0.11623039999999918,24.207216,0,0,-0.004470399999998875
29,24.3145056,0.10728960000000379,24.3145056,0,0,0.004470400000000652
30,24.2161568,-0.09834880000000051,24.2161568,0,0,-0.20563839999999978
31,23.9032288,-0.3129280000000002,23.9032288,0,0,-0.42468799999999973
32,23.3667808,-0.5364479999999993,23.3667808,0,0,-0.3397503999999998
33,23.223728,-0.14305280000000112,23.223728,0,0,-0.08493759999999817
